sys_time,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z,movement_events
1763026870.015879,-74,-21,226,-5264,-2416,-5680,0
1763026870.015879,-58,-80,219,-5282,-2472,-5672,0
1763026870.058404,-64,-88,259,-5285,-2504,-5720,0
1763026870.058404,-22,-46,309,-5256,-2459,-5682,0
1763026870.058404,44,24,342,-5203,-2399,-5587,0
1763026870.058404,61,-1,358,-5171,-2351,-5545,0
1763026870.058404,51,-176,335,-5190,-2304,-5568,0
1763026870.103068,49,-354,262,-5270,-2252,-5583,0
1763026870.103068,56,-412,184,-5349,-2219,-5540,0
1763026870.103068,48,-375,117,-5394,-2203,-5501,0
1763026870.103068,42,-339,67,-5428,-2206,-5506,0
1763026870.103068,44,-323,23,-5475,-2210,-5511,0
1763026870.192755,45,-273,-12,-5522,-2213,-5491,0
1763026870.192755,37,-178,-28,-5568,-2226,-5490,0
1763026870.192755,37,-72,-31,-5592,-2237,-5538,0
1763026870.192755,44,32,-8,-5603,-2258,-5565,0
1763026870.192755,49,125,42,-5573,-2269,-5579,0
1763026870.195905,45,174,102,-5517,-2259,-5597,0
1763026870.195905,47,172,142,-5470,-2268,-5627,0
1763026870.195905,44,145,163,-5431,-2289,-5629,0
1763026870.195905,17,107,172,-5397,-2301,-5624,0
1763026870.195905,7,65,171,-5381,-2312,-5613,0
1763026870.237686,3,27,154,-5372,-2303,-5597,0
